time,open,high,low,close,OB long,OB Short,FVG Long,FVG Short
2026-02-28T04:55:00+08:00,1.18223,1.18226,1.1815,1.18159,0,0,0,0
2026-02-28T05:00:00+08:00,1.18163,1.18163,1.18125,1.1814,0,0,0,0
2026-02-28T05:05:00+08:00,1.1814,1.18144,1.18131,1.18136,0,0,0,0
2026-02-28T05:10:00+08:00,1.18136,1.18153,1.18136,1.18142,0,0,0,0
2026-02-28T05:15:00+08:00,1.18142,1.18164,1.18133,1.1816,0,0,0,0
2026-02-28T05:20:00+08:00,1.1816,1.18183,1.1816,1.18178,1,0,0,0
2026-02-28T05:25:00+08:00,1.18177,1.18184,1.18152,1.18153,0,0,0,0
2026-02-28T05:30:00+08:00,1.18152,1.18174,1.18146,1.18147,0,0,0,0
2026-02-28T05:35:00+08:00,1.18148,1.18149,1.18128,1.1813,0,0,0,0
2026-02-28T05:40:00+08:00,1.1813,1.18132,1.18112,1.18116,0,0,0,0
2026-02-28T05:45:00+08:00,1.18116,1.18128,1.18114,1.18123,0,0,0,0
2026-02-28T05:50:00+08:00,1.18124,1.18146,1.18113,1.18124,0,0,0,0
2026-03-02T06:00:00+08:00,1.1765,1.17665,1.17648,1.17653,0,0,0,0
2026-03-02T06:05:00+08:00,1.17645,1.17653,1.17639,1.17645,0,0,0,0
2026-03-02T06:10:00+08:00,1.17644,1.17659,1.17636,1.17637,0,0,0,0
2026-03-02T06:15:00+08:00,1.17638,1.17638,1.17564,1.17564,0,0,0,0
2026-03-02T06:20:00+08:00,1.17565,1.17617,1.17565,1.1761,0,0,0,0
2026-03-02T06:25:00+08:00,1.17615,1.17625,1.17594,1.17607,0,0,0,0
2026-03-02T06:30:00+08:00,1.17606,1.17696,1.17605,1.17638,0,0,0,0
2026-03-02T06:35:00+08:00,1.17639,1.1765,1.17621,1.17621,0,0,0,0
2026-03-02T06:40:00+08:00,1.17622,1.17715,1.17621,1.17712,0,0,0,0
2026-03-02T06:45:00+08:00,1.17713,1.1773,1.1771,1.17725,0,0,0,0
2026-03-02T06:50:00+08:00,1.17726,1.17768,1.17713,1.17765,0,0,0,0
2026-03-02T06:55:00+08:00,1.17767,1.17767,1.17725,1.17739,0,0,0,0
2026-03-02T07:00:00+08:00,1.1775,1.17791,1.17653,1.17787,0,0,0,0
2026-03-02T07:05:00+08:00,1.17788,1.17877,1.17779,1.17855,0,0,0,0
2026-03-02T07:10:00+08:00,1.17853,1.17871,1.17756,1.17779,0,0,0,0
2026-03-02T07:15:00+08:00,1.17779,1.17789,1.1772,1.17731,0,0,0,0
2026-03-02T07:20:00+08:00,1.17732,1.1774,1.17674,1.17687,0,0,0,0
2026-03-02T07:25:00+08:00,1.17688,1.17723,1.17607,1.17629,0,0,0,0
2026-03-02T07:30:00+08:00,1.17628,1.17663,1.17577,1.17632,0,0,0,0
