time,open,high,low,close,smz_trend_15m,smz_trend_1h,smz_trend_4h,smz_trend_1d,poi_high_bull,poi_high_bear,poi_mid_bull,poi_mid_bear,htf_fvg_1h_bull,htf_fvg_1h_bear,htf_fvg_4h_bull,htf_fvg_4h_bear,smc_liquidity_high,smc_liquidity_low,liq_buyside_target,liq_sellside_target,asia_session_high,asia_session_low,london_session_high,london_session_low,ny_session_high,ny_session_low,pd_high,pd_low,pd_mid,daily_mid_50,true_day_open,crt_buy_signal,crt_sell_signal,sb_sig_ln,sb_sig_am,sb_sig_pm,sb_lux_ln,sb_lux_am,sb_lux_pm,sb_or_range,sb_trading_range,htf_sweep_4h_bull,htf_sweep_4h_bear,htf_sweep_1d_bull,htf_sweep_1d_bear,liquidity_sweep_bull,liquidity_sweep_bear,choch_bull,choch_bear,cisd_bull,cisd_bear,mss_bull,mss_bear,fvg_sb_bull,fvg_sb_bear,fvg_smz_bull,fvg_smz_bear,fvg_bpr_bull,fvg_bpr_bear,mss_fvg_bull,mss_fvg_bear,entry_sb_bull,entry_sb_bear,entry_setup01_bull,entry_setup01_bear,entry_ote_bull,entry_ote_bear,entry_fvg_bull,entry_fvg_bear,bb_pivot_high,bb_pivot_low,stop_loss_bull,stop_loss_bear,target_bull,target_bear
2025-12-08 07:15:00,4214.87,4215.1,4213.01,4214.81,1,1,-1,-1,2,0,2,0,0,0,0,0,4219.56,4180.97,4219.02,,4219.02,4207.93,4259.32,4198.5,0.0,0.0,5595.18,5098.65,0.0,4206.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,5595.18,4193.94
2025-12-08 07:20:00,4214.81,4215.64,4213.59,4214.57,1,1,-1,-1,2,0,2,0,0,0,0,0,4219.56,4180.97,4219.02,,4219.02,4207.93,4259.32,4198.5,0.0,0.0,5595.18,5098.65,0.0,4206.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,5595.18,4193.94
2025-12-08 07:25:00,4214.66,4216.19,4212.88,4213.94,1,1,-1,-1,2,0,2,0,0,0,0,0,4219.56,4180.97,4219.02,,4219.02,4207.93,4259.32,4198.5,0.0,0.0,5595.18,5098.65,0.0,4206.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,5595.18,4193.94
2025-12-08 07:30:00,4214.02,4216.15,4213.27,4216.09,1,1,-1,-1,2,0,2,0,0,0,0,0,4219.56,4180.97,4219.02,,4219.02,4207.93,4259.32,4198.5,0.0,0.0,5595.18,5098.65,0.0,4206.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,5595.18,4193.94
2025-12-08 07:35:00,4216.15,4216.21,4211.63,4212.12,1,1,-1,-1,2,0,2,0,0,0,0,0,4219.56,4180.97,4219.02,,4219.02,4207.93,4259.32,4198.5,0.0,0.0,5595.18,5098.65,0.0,4206.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,5595.18,4193.94
2025-12-08 07:40:00,4212.09,4213.3,4209.95,4210.11,1,1,-1,-1,2,0,2,0,0,0,0,0,4219.56,4180.97,4219.02,,4219.02,4207.93,4259.32,4198.5,0.0,0.0,5595.18,5098.65,0.0,4206.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,5595.18,4193.94
2025-12-08 07:45:00,4210.12,4211.08,4207.36,4208.6,1,1,-1,-1,2,0,2,0,0,0,0,0,4219.56,4180.97,4219.02,,4219.02,4207.93,4259.32,4198.5,0.0,0.0,5595.18,5098.65,0.0,4206.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,5595.18,4193.94
2025-12-08 07:50:00,4208.59,4209.39,4206.16,4208.97,1,1,-1,-1,2,0,2,0,0,0,0,0,4219.56,4180.97,4219.02,,4219.02,4207.93,4259.32,4198.5,0.0,0.0,5595.18,5098.65,0.0,4206.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,5595.18,4193.94
2025-12-08 07:55:00,4208.98,4209.35,4206.49,4206.96,1,1,-1,-1,2,0,2,0,0,0,0,0,4219.56,4180.97,4219.02,,4219.02,4207.93,4259.32,4198.5,0.0,0.0,5595.18,5098.65,0.0,4206.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,5595.18,4193.94
2025-12-08 08:00:00,4207.2,4210.48,4203.2,4210.32,-1,-1,-1,-1,2,0,2,0,0,0,0,0,4219.56,4180.97,4219.02,,4219.02,4207.93,4259.32,4198.5,0.0,0.0,5595.18,5098.65,0.0,4206.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,5595.18,4193.94
