time,open,high,low,close,Long,Short
2026-02-25T21:40:00+08:00,1.17846,1.17862,1.17824,1.17834,0,0
2026-02-25T21:45:00+08:00,1.17833,1.17857,1.17774,1.17789,0,0
2026-02-25T21:50:00+08:00,1.17791,1.17802,1.17747,1.17747,0,0
2026-02-25T21:55:00+08:00,1.17749,1.17762,1.1773,1.17735,0,0
2026-02-25T22:00:00+08:00,1.17736,1.17757,1.1773,1.17734,0,0
2026-02-25T22:05:00+08:00,1.17735,1.17755,1.17731,1.17751,0,0
2026-02-25T22:10:00+08:00,1.17752,1.17775,1.1773,1.17764,0,0
2026-02-25T22:15:00+08:00,1.17765,1.17786,1.17758,1.17786,0,0
2026-02-25T22:20:00+08:00,1.17785,1.17833,1.17784,1.17829,0,0
2026-02-25T22:25:00+08:00,1.17828,1.17834,1.17809,1.17826,0,0
2026-02-25T22:30:00+08:00,1.17827,1.17855,1.17813,1.17827,0,0
2026-02-25T22:35:00+08:00,1.17826,1.17849,1.17816,1.17819,0,0
2026-02-25T22:40:00+08:00,1.17818,1.17861,1.17805,1.17858,0,0
2026-02-25T22:45:00+08:00,1.17859,1.1789,1.17855,1.17875,0,0
2026-02-25T22:50:00+08:00,1.17877,1.17892,1.17848,1.17864,0,0
2026-02-25T22:55:00+08:00,1.17864,1.17892,1.1786,1.17861,0,0
2026-02-25T23:00:00+08:00,1.17862,1.17901,1.17847,1.17881,0,0
2026-02-25T23:05:00+08:00,1.17882,1.17928,1.17869,1.17914,0,0
2026-02-25T23:10:00+08:00,1.17912,1.17997,1.1789,1.17981,0,0
2026-02-25T23:15:00+08:00,1.17982,1.18015,1.17977,1.17997,0,0
2026-02-25T23:20:00+08:00,1.17993,1.17996,1.17923,1.17926,0,0
2026-02-25T23:25:00+08:00,1.17924,1.17954,1.17893,1.17917,0,0
2026-02-25T23:30:00+08:00,1.17916,1.17946,1.17893,1.17913,0,0
2026-02-25T23:35:00+08:00,1.17914,1.17951,1.17897,1.17944,0,0
2026-02-25T23:40:00+08:00,1.17943,1.1797,1.17934,1.17958,0,0
2026-02-25T23:45:00+08:00,1.17959,1.18026,1.17923,1.17994,0,0
2026-02-25T23:50:00+08:00,1.17991,1.17999,1.17944,1.17991,0,0
2026-02-25T23:55:00+08:00,1.1799,1.1802,1.17949,1.18012,0,0
2026-02-26T00:00:00+08:00,1.18014,1.18069,1.18012,1.18034,0,0
2026-02-26T00:05:00+08:00,1.18027,1.1804,1.18004,1.18035,0,0
2026-02-26T00:10:00+08:00,1.18036,1.18072,1.18025,1.18027,0,0
2026-02-26T00:15:00+08:00,1.18026,1.18059,1.18026,1.18041,0,0
2026-02-26T00:20:00+08:00,1.18039,1.18058,1.18032,1.18032,0,0
2026-02-26T00:25:00+08:00,1.1803,1.18033,1.18008,1.18029,0,0
2026-02-26T00:30:00+08:00,1.18029,1.18051,1.18023,1.18026,0,0
2026-02-26T00:35:00+08:00,1.18027,1.18029,1.18005,1.18024,0,0
2026-02-26T00:40:00+08:00,1.18025,1.18026,1.17986,1.1799,0,0
2026-02-26T00:45:00+08:00,1.17992,1.18066,1.17992,1.18034,0,0
2026-02-26T00:50:00+08:00,1.18033,1.18037,1.18017,1.18021,0,0
2026-02-26T00:55:00+08:00,1.1802,1.18044,1.18001,1.18041,0,0
2026-02-26T01:00:00+08:00,1.1804,1.18082,1.18024,1.18078,0,0
2026-02-26T01:05:00+08:00,1.1808,1.18099,1.18063,1.18087,0,0
2026-02-26T01:10:00+08:00,1.18086,1.18141,1.1808,1.18117,0,0
2026-02-26T01:15:00+08:00,1.18118,1.18134,1.18105,1.18119,0,0
