"Order ID","Position ID","Event","Time (UTC+8)","Volume","Quantity","Type","Entry price","TP","SL","Closing price","Gross profit","Pips","Balance","Equity","Serial #"
"","32","Take Profit Hit","18/03/2026 02:09:00.000","53000","0.53 Lots","Buy","1.15255","1.15453","1.15156","1.15465","111.30","21","10 547.77","10 547.77","65"
"","32","Create Position","17/03/2026 22:30:00.000","53000","0.53 Lots","Buy","1.15255","1.15453","1.15156","","0.00","0","-","10 514.01","62"
"","33","Stop Loss Hit","17/03/2026 23:22:00.000","50000","0.50 Lots","Buy","1.15384","1.15592","1.1528","1.15243","-70.50","-14.1","10 440.09","10 438.59","64"
"","33","Create Position","17/03/2026 23:05:00.000","50000","0.50 Lots","Buy","1.15384","1.15592","1.1528","","0.00","0","-","10 573.46","63"
"","34","Stop Loss Hit","18/03/2026 06:14:00.000","72000","0.72 Lots","Sell","1.15376","1.1523","1.15449","1.15455","-56.88","-7.9","10 488.27","10 543.63","68"
"","34","Create Position","18/03/2026 04:10:00.000","72000","0.72 Lots","Sell","1.15376","1.1523","1.15449","","0.00","0","-","10 547.77","66"
"","35","Take Profit Hit","18/03/2026 14:23:00.000","79000","0.79 Lots","Buy","1.15353","1.15485","1.15287","1.1549","108.23","13.7","10 472.78","10 472.78","73"
"","35","Create Position","18/03/2026 05:20:00.000","79000","0.79 Lots","Buy","1.15353","1.15485","1.15287","","0.00","0","-","10 561.71","67"
"","36","Stop Loss Hit","18/03/2026 08:42:00.000","78000","0.78 Lots","Buy","1.154","1.15534","1.15333","1.15331","-53.82","-6.9","10 429.11","10 407.91","70"
"","36","Create Position","18/03/2026 07:10:00.000","78000","0.78 Lots","Buy","1.154","1.15534","1.15333","","0.00","0","-","10 512.10","69"
"","37","Stop Loss Hit","18/03/2026 12:06:00.000","76000","0.76 Lots","Sell","1.15334","1.15198","1.15402","1.15405","-53.96","-7.1","10 369.95","10 396.94","72"
"","37","Create Position","18/03/2026 10:05:00.000","76000","0.76 Lots","Sell","1.15334","1.15198","1.15402","","0.00","0","-","10 408.70","71"
"","38","Stop Loss Hit","18/03/2026 17:44:00.000","73000","0.73 Lots","Sell","1.15323","1.15181","1.15394","1.15397","-54.02","-7.4","10 413.76","10 440.86","76"
"","38","Create Position","18/03/2026 17:00:00.000","73000","0.73 Lots","Sell","1.15323","1.15181","1.15394","","0.00","0","-","10 472.78","74"
"","39","Take Profit Hit","18/03/2026 19:18:00.000","60000","0.60 Lots","Buy","1.15334","1.15508","1.15247","1.15514","108.00","18","10 336.50","10 336.50","83"
"","39","Create Position","18/03/2026 17:10:00.000","60000","0.60 Lots","Buy","1.15334","1.15508","1.15247","","0.00","0","-","10 459.75","75"
"","40","Stop Loss Hit","18/03/2026 18:10:00.000","71000","0.71 Lots","Sell","1.15371","1.15225","1.15444","1.15449","-55.38","-7.8","10 353.52","10 408.82","78"
"","40","Create Position","18/03/2026 17:50:00.000","71000","0.71 Lots","Sell","1.15371","1.15225","1.15444","","0.00","0","-","10 431.86","77"
"","41","Stop Loss Hit","18/03/2026 19:05:00.000","68000","0.68 Lots","Sell","1.15388","1.15236","1.15464","1.15467","-53.72","-7.9","10 295.14","10 313.76","81"
"","41","Create Position","18/03/2026 18:25:00.000","68000","0.68 Lots","Sell","1.15388","1.15236","1.15464","","0.00","0","-","10 381.82","79"
