time,open,high,low,close,Ultra High Volume,Very High Volume,High Volume,Trend MA,High Taken,Low Taken,High Taken (no text),Low Taken (no text),#1,#2,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Swing High,Swing Low,Turtle Soup Buy Auto,Turtle Soup Sell Auto,Turtle Soup Buy Huge,Turtle Soup Sell Huge,Turtle Soup Buy Large,Turtle Soup Sell Large,Turtle Soup Buy Normal,Turtle Soup Sell Normal,Turtle Soup Buy Small,Turtle Soup Sell Small,Turtle Soup Buy Tiny,Turtle Soup Sell Tiny,Plot,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),TF1 Trend,TF2 Trend,TF3 Trend,TF4 Trend
2026-01-05T17:05:00+08:00,4428.3,4428.9,4426.51,4426.92,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3297.44,3299.16,3296.57,3297.35,3,2,1,0
2026-01-05T17:10:00+08:00,4426.78,4431.12,4426.23,4430.38,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3297.1,3300.55,3296.5,3299.92,3,2,1,0
2026-01-05T17:15:00+08:00,4430.36,4432.05,4429.73,4431.77,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3299.8,3299.97,3298.77,3299.52,3,2,1,0
2026-01-05T17:20:00+08:00,4431.76,4434.28,4430.99,4433.74,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3299.5,3300.78,3299.16,3300.54,3,2,1,0
2026-01-05T17:25:00+08:00,4433.8,4434.57,4432.44,4432.53,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3300.61,3300.88,3299.27,3299.95,3,2,1,0
2026-01-05T17:30:00+08:00,4432.49,4433.44,4431.54,4432.95,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3299.92,3300.9,3299.49,3299.99,3,2,1,0
2026-01-05T17:35:00+08:00,4432.99,4433.22,4430.91,4432.63,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3299.86,3300.66,3298.86,3300.41,3,2,1,0
2026-01-05T17:40:00+08:00,4432.64,4438.08,4432.35,4437.62,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3300.32,3304.79,3300.32,3304.34,3,2,1,0
2026-01-05T17:45:00+08:00,4437.61,4437.89,4434.27,4435.01,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3304.26,3304.39,3300.78,3301.15,3,2,1,0
2026-01-05T17:50:00+08:00,4435.02,4437.21,4434.6,4434.96,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3301.12,3302.15,3300.31,3300.48,3,2,1,0
