time,open,high,low,close,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close)
2026-03-04T22:05:00+08:00,1.16284,1.1638,1.16283,1.16296,,1.1638,1.16283,1.16296
2026-03-04T22:10:00+08:00,1.16297,1.16328,1.1628,1.16286,,1.16328,1.1628,1.16286
2026-03-04T22:15:00+08:00,1.16285,1.16399,1.16282,1.16396,,1.16399,1.16282,1.16396
2026-03-04T22:20:00+08:00,1.16394,1.16413,1.1632,1.16349,,1.16413,1.1632,1.16349
2026-03-04T22:25:00+08:00,1.16337,1.16389,1.16326,1.16346,,1.16389,1.16326,1.16346
2026-03-04T22:30:00+08:00,1.16341,1.16374,1.16316,1.16369,,1.16374,1.16316,1.16369
2026-03-04T22:35:00+08:00,1.16367,1.16384,1.16212,1.16313,,1.16384,1.16212,1.16313
2026-03-04T22:40:00+08:00,1.16315,1.16329,1.16243,1.16275,,1.16329,1.16243,1.16275
2026-03-04T22:45:00+08:00,1.16273,1.16295,1.16203,1.16242,,1.16295,1.16203,1.16242
2026-03-04T22:50:00+08:00,1.1624,1.16289,1.16223,1.16257,,1.16289,1.16223,1.16257
2026-03-04T22:55:00+08:00,1.16254,1.16257,1.16219,1.16249,,1.16257,1.16219,1.16249
2026-03-04T23:00:00+08:00,1.1623,1.16268,1.16189,1.16196,,1.16268,1.16189,1.16196
2026-03-04T23:05:00+08:00,1.16198,1.16253,1.16167,1.16234,,1.16253,1.16167,1.16234
2026-03-04T23:10:00+08:00,1.16234,1.16284,1.16185,1.16221,,1.16284,1.16185,1.16221
2026-03-04T23:15:00+08:00,1.16217,1.16314,1.16205,1.1631,,1.16314,1.16205,1.1631
2026-03-04T23:20:00+08:00,1.16307,1.16338,1.16296,1.16338,,1.16338,1.16296,1.16338
2026-03-04T23:25:00+08:00,1.16337,1.16398,1.16335,1.16385,,1.16398,1.16335,1.16385
2026-03-04T23:30:00+08:00,1.16387,1.16396,1.16355,1.1637,,1.16396,1.16355,1.1637
2026-03-04T23:35:00+08:00,1.16365,1.16389,1.16331,1.16343,,1.16389,1.16331,1.16343
2026-03-04T23:40:00+08:00,1.16342,1.16377,1.16312,1.16348,,1.16377,1.16312,1.16348
2026-03-04T23:45:00+08:00,1.1635,1.16351,1.16314,1.16343,,1.16351,1.16314,1.16343
2026-03-04T23:50:00+08:00,1.16342,1.16405,1.16331,1.16392,,1.16405,1.16331,1.16392
2026-03-04T23:55:00+08:00,1.16394,1.16406,1.16321,1.16404,,1.16406,1.16321,1.16404
2026-03-05T00:00:00+08:00,1.16404,1.16453,1.1639,1.1642,,1.16453,1.1639,1.1642
2026-03-05T00:05:00+08:00,1.16421,1.16463,1.16393,1.16442,,1.16463,1.16393,1.16442
2026-03-05T00:10:00+08:00,1.16441,1.16441,1.16387,1.16398,,1.16441,1.16387,1.16398
2026-03-05T00:15:00+08:00,1.16399,1.16414,1.16348,1.1635,,1.16414,1.16348,1.1635
2026-03-05T00:20:00+08:00,1.16351,1.16356,1.16284,1.16291,,1.16356,1.16284,1.16291
2026-03-05T00:25:00+08:00,1.1629,1.16323,1.16289,1.16321,,1.16323,1.16289,1.16321
