/workspace/S1_Silver_Bullet/Silver_bullet_backtrader.py:525: RuntimeWarning: CISD sweep detection failed; defaulting to no CISD signals. Error: list index out of range
  warnings.warn(

================================================================================
Starting Portfolio Value: $10000.00
================================================================================

2025-12-29T06:10:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=FAIL HTF_POI=FAIL
2025-12-29T07:20:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=PASS HTF_POI=FAIL
2025-12-29T07:30:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=FAIL HTF_POI=FAIL
2025-12-29T08:00:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=FAIL HTF_POI=FAIL
2025-12-29T09:15:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=PASS HTF_POI=FAIL
2025-12-29T09:55:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=FAIL HTF_POI=FAIL
2025-12-29T10:15:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=FAIL HTF_POI=FAIL
2025-12-29T10:40:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=PASS HTF_POI=FAIL
2025-12-29T11:20:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=PASS HTF_POI=FAIL
2025-12-29T11:50:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=PASS HTF_POI=FAIL
2025-12-29T12:15:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=PASS HTF_POI=FAIL
2025-12-29T12:20:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=PASS HTF_POI=FAIL
2025-12-29T13:00:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=FAIL HTF_POI=FAIL
2025-12-30T02:10:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=FAIL HTF_POI=FAIL
2025-12-30T05:10:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=PASS HTF_POI=FAIL
2025-12-30T05:15:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=PASS HTF_POI=FAIL
2025-12-30T09:35:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=FAIL HTF_POI=FAIL
