time,open,high,low,close,Break Major External Up TrendLine,React Major External Up TrendLine,Break Major External Down TrendLine,React Major External Down TrendLine,Break Major Internal Up TrendLine,React Major Internal Up TrendLine,Break Major Internal Down TrendLine,React Major Internal Down TrendLine,Break Minor External Up TrendLine,React Minor External Up TrendLine,Break Minor External Down TrendLine,React Minor External Down TrendLine,Break Minor Internal Up TrendLine,React Minor Internal Up TrendLine,Break Minor Internal Down TrendLine,React Minor Internal Down TrendLine
2026-03-05T23:25:00+08:00,1.15875,1.15875,1.1578,1.15802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T23:30:00+08:00,1.15805,1.1582,1.15779,1.15819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T23:35:00+08:00,1.15821,1.15827,1.15693,1.15708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T23:40:00+08:00,1.15709,1.15771,1.15691,1.15727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T23:45:00+08:00,1.15728,1.1577,1.15713,1.15717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T23:50:00+08:00,1.15717,1.15808,1.15712,1.15774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T23:55:00+08:00,1.15774,1.1585,1.15774,1.15833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T00:00:00+08:00,1.15831,1.15865,1.15752,1.15752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T00:05:00+08:00,1.1575,1.15752,1.15659,1.1568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T00:10:00+08:00,1.15679,1.15762,1.15659,1.15743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T00:15:00+08:00,1.15739,1.15752,1.15694,1.15696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T00:20:00+08:00,1.15695,1.15737,1.15618,1.15634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T00:25:00+08:00,1.15633,1.1566,1.1559,1.15613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T00:30:00+08:00,1.1561,1.15706,1.156,1.15688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T00:35:00+08:00,1.1569,1.15751,1.15663,1.15744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T00:40:00+08:00,1.15743,1.15813,1.15717,1.15796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T00:45:00+08:00,1.15798,1.15809,1.15752,1.15785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T00:50:00+08:00,1.15786,1.15796,1.15717,1.15765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T00:55:00+08:00,1.15766,1.15838,1.15766,1.15838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T01:00:00+08:00,1.15839,1.15877,1.15802,1.15859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T01:05:00+08:00,1.1586,1.15867,1.15797,1.1581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T01:10:00+08:00,1.15805,1.15814,1.15749,1.15779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T01:15:00+08:00,1.15781,1.15793,1.1576,1.15774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T01:20:00+08:00,1.15775,1.15889,1.15774,1.15866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T01:25:00+08:00,1.15865,1.15869,1.15803,1.15805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T01:30:00+08:00,1.15803,1.15804,1.15733,1.15739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T01:35:00+08:00,1.15741,1.15897,1.15727,1.15895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T01:40:00+08:00,1.15896,1.15921,1.15812,1.15852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T01:45:00+08:00,1.15853,1.15875,1.15784,1.1583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T01:50:00+08:00,1.15829,1.15886,1.15809,1.15809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T01:55:00+08:00,1.1581,1.15894,1.15805,1.15878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T02:00:00+08:00,1.15879,1.159,1.1584,1.15844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T02:05:00+08:00,1.15843,1.15881,1.1584,1.15856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T02:10:00+08:00,1.15857,1.1587,1.15816,1.15853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T02:15:00+08:00,1.1585,1.1586,1.15737,1.15738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T02:20:00+08:00,1.15739,1.15847,1.15712,1.15828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T02:25:00+08:00,1.15829,1.15841,1.15769,1.15829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T02:30:00+08:00,1.15831,1.15875,1.15824,1.15848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T02:35:00+08:00,1.15849,1.15889,1.15825,1.15884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T02:40:00+08:00,1.15881,1.15917,1.1585,1.15906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T02:45:00+08:00,1.15908,1.15909,1.15846,1.15867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T02:50:00+08:00,1.15867,1.15867,1.15817,1.15845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T02:55:00+08:00,1.15848,1.15871,1.15828,1.15861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T03:00:00+08:00,1.15859,1.15882,1.15845,1.15857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T03:05:00+08:00,1.15856,1.15873,1.15839,1.15848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T03:10:00+08:00,1.15847,1.15856,1.15832,1.15854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T03:15:00+08:00,1.15852,1.15852,1.15795,1.15825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T03:20:00+08:00,1.15826,1.15854,1.15802,1.15819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T03:25:00+08:00,1.15816,1.15823,1.15764,1.15785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T03:30:00+08:00,1.15783,1.15783,1.15728,1.15744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T03:35:00+08:00,1.15745,1.15752,1.15714,1.15735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T03:40:00+08:00,1.15736,1.15784,1.15735,1.1577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T03:45:00+08:00,1.15768,1.15769,1.15728,1.1575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T03:50:00+08:00,1.15752,1.1578,1.15719,1.15726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T03:55:00+08:00,1.15725,1.1573,1.157,1.15729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T04:00:00+08:00,1.15728,1.15795,1.15702,1.15785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T04:05:00+08:00,1.15787,1.15904,1.15748,1.15887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T04:10:00+08:00,1.15887,1.16026,1.15885,1.1602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2026-03-06T04:15:00+08:00,1.16021,1.16085,1.15963,1.15965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
