time_utc,time_hk,direction,signal_type,rejection_reason,filter_htf_poi,filter_trend,filter_time
2025-12-04 01:35:00+00:00,2025-12-04 09:35:00 HKT,LONG,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,True
2025-12-04 05:25:00+00:00,2025-12-04 13:25:00 HKT,LONG,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,False
2025-12-04 05:35:00+00:00,2025-12-04 13:35:00 HKT,SHORT,IFVG_Realtime,Time Filter (ICT session not active),True,True,False
2025-12-04 06:10:00+00:00,2025-12-04 14:10:00 HKT,SHORT,IFVG_Realtime,Time Filter (ICT session not active),True,True,False
2025-12-04 06:30:00+00:00,2025-12-04 14:30:00 HKT,SHORT,SB_FVG_Retrace,Time Filter (ICT session not active),True,True,False
2025-12-04 06:45:00+00:00,2025-12-04 14:45:00 HKT,SHORT,ICT_Setup01,Time Filter (ICT session not active),True,True,False
2025-12-04 10:10:00+00:00,2025-12-04 18:10:00 HKT,LONG,ICT_Setup01,Trend Filter (15M/1H bias not aligned),True,False,False
2025-12-04 10:30:00+00:00,2025-12-04 18:30:00 HKT,LONG,ICT_Setup01,Trend Filter (15M/1H bias not aligned),True,False,False
2025-12-04 11:05:00+00:00,2025-12-04 19:05:00 HKT,LONG,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,False
2025-12-04 11:35:00+00:00,2025-12-04 19:35:00 HKT,SHORT,ICT_Setup01,Time Filter (ICT session not active),True,True,False
2025-12-04 13:25:00+00:00,2025-12-04 21:25:00 HKT,LONG,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,False
2025-12-04 14:35:00+00:00,2025-12-04 22:35:00 HKT,LONG,ICT_Setup01,Trend Filter (15M/1H bias not aligned),True,False,True
2025-12-04 17:05:00+00:00,2025-12-05 01:05:00 HKT,SHORT,IFVG_Realtime,Time Filter (ICT session not active),True,True,False
2025-12-04 17:40:00+00:00,2025-12-05 01:40:00 HKT,LONG,IFVG_Realtime,Time Filter (ICT session not active),True,True,False
2025-12-04 17:45:00+00:00,2025-12-05 01:45:00 HKT,LONG,IFVG_Realtime,Time Filter (ICT session not active),True,True,False
2025-12-04 18:05:00+00:00,2025-12-05 02:05:00 HKT,SHORT,IFVG_Realtime,Time Filter (ICT session not active),True,True,False
2025-12-04 21:35:00+00:00,2025-12-05 05:35:00 HKT,LONG,IFVG_Realtime,Time Filter (ICT session not active),True,True,False
2025-12-05 00:05:00+00:00,2025-12-05 08:05:00 HKT,LONG,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,False
2025-12-05 02:40:00+00:00,2025-12-05 10:40:00 HKT,LONG,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,True
2025-12-05 06:30:00+00:00,2025-12-05 14:30:00 HKT,LONG,ICT_Setup01,Time Filter (ICT session not active),True,True,False
2025-12-05 10:25:00+00:00,2025-12-05 18:25:00 HKT,LONG,ICT_Setup01,Time Filter (ICT session not active),True,True,False
