trade_num,direction,entry_time_utc,entry,stop_loss,take_profit,pnl,result,signal,entry_time_hk
35,LONG,2025-12-19T09:55:00,4329.57,4324.37,4339.97,-200.0,LOSS,ICT_Setup01,2025-12-19 17:55:00 HKT
36,LONG,2025-12-22T04:00:00,4394.89,4378.43,4427.81,400.0,WIN,ICT_Setup01,2025-12-22 12:00:00 HKT
37,LONG,2025-12-23T02:50:00,4490.56,4481.15,4509.38,-200.0,LOSS,ICT_Setup01,2025-12-23 10:50:00 HKT
38,LONG,2025-12-24T01:35:00,4522.08,4506.86,4552.52,-200.0,LOSS,ICT_Setup01,2025-12-24 09:35:00 HKT
39,LONG,2025-12-24T07:05:00,4492.04,4485.28,4505.56,-200.0,LOSS,ICT_Setup01,2025-12-24 15:05:00 HKT
40,LONG,2025-12-24T07:10:00,4493.47,4485.28,4509.85,-200.0,LOSS,ICT_Setup01,2025-12-24 15:10:00 HKT
41,LONG,2025-12-24T07:30:00,4491.84,4485.28,4504.96,-200.0,LOSS,ICT_Setup01,2025-12-24 15:30:00 HKT
42,LONG,2025-12-26T16:10:00,4538.85,4513.11,4590.33,-200.0,LOSS,ICT_Setup01,2025-12-27 00:10:00 HKT
43,SHORT,2025-12-29T07:20:00,4475.97,4519.36,4389.19,400.0,WIN,ICT_Setup01,2025-12-29 15:20:00 HKT
44,SHORT,2025-12-29T09:15:00,4465.92,4488.62,4420.52,400.0,WIN,ICT_Setup01,2025-12-29 17:15:00 HKT
45,SHORT,2025-12-30T19:45:00,4349.91,4378.74,4292.25,400.0,WIN,ICT_Setup01,2025-12-31 03:45:00 HKT
46,LONG,2026-01-02T03:55:00,4375.2,4344.97,4435.66,-200.0,LOSS,ICT_Setup01,2026-01-02 11:55:00 HKT
47,LONG,2026-01-05T02:45:00,4403.32,4388.47,4433.02,400.0,WIN,ICT_Setup01,2026-01-05 10:45:00 HKT
48,LONG,2026-01-05T09:10:00,4430.38,4419.43,4452.28,-200.0,LOSS,ICT_Setup01,2026-01-05 17:10:00 HKT
49,LONG,2026-01-05T14:30:00,4425.6,4396.27,4484.26,400.0,WIN,ICT_Setup01,2026-01-05 22:30:00 HKT
50,LONG,2026-01-06T15:20:00,4476.77,4464.46,4501.39,-200.0,LOSS,ICT_Setup01,2026-01-06 23:20:00 HKT
51,LONG,2026-01-07T02:25:00,4473.82,4459.5,4502.46,-200.0,LOSS,ICT_Setup01,2026-01-07 10:25:00 HKT
52,LONG,2026-01-07T20:10:00,4458.2,4445.27,4484.06,-200.0,LOSS,ICT_Setup01,2026-01-08 04:10:00 HKT
53,LONG,2026-01-08T15:25:00,4447.65,4418.98,4504.99,400.0,WIN,ICT_Setup01,2026-01-08 23:25:00 HKT
54,LONG,2026-01-09T07:00:00,4474.65,4458.22,4507.51,-200.0,LOSS,ICT_Setup01,2026-01-09 15:00:00 HKT
55,LONG,2026-01-09T07:15:00,4472.55,4458.22,4501.21,-200.0,LOSS,ICT_Setup01,2026-01-09 15:15:00 HKT
56,LONG,2026-01-09T19:05:00,4494.36,4481.98,4519.12,400.0,WIN,ICT_Setup01,2026-01-10 03:05:00 HKT
57,LONG,2026-01-12T19:40:00,4616.44,4600.52,4648.28,-200.0,LOSS,ICT_Setup01,2026-01-13 03:40:00 HKT
58,LONG,2026-01-13T08:45:00,4593.87,4577.4,4626.81,400.0,WIN,ICT_Setup01,2026-01-13 16:45:00 HKT
59,LONG,2026-01-13T20:55:00,4585.92,4563.26,4631.24,400.0,WIN,ICT_Setup01,2026-01-14 04:55:00 HKT
60,SHORT,2026-01-15T01:55:00,4600.07,4618.1,4564.01,-200.0,LOSS,ICT_Setup01,2026-01-15 09:55:00 HKT
61,SHORT,2026-01-15T08:20:00,4603.32,4613.63,4582.7,-200.0,LOSS,ICT_Setup01,2026-01-15 16:20:00 HKT
62,LONG,2026-01-15T14:45:00,4609.36,4582.48,4663.12,-200.0,LOSS,ICT_Setup01,2026-01-15 22:45:00 HKT
63,SHORT,2026-01-15T20:35:00,4606.99,4621.54,4577.89,400.0,WIN,ICT_Setup01,2026-01-16 04:35:00 HKT
64,LONG,2026-01-19T08:35:00,4668.84,4661.87,4682.78,-200.0,LOSS,ICT_Setup01,2026-01-19 16:35:00 HKT
65,LONG,2026-01-19T19:00:00,4674.8,4669.13,4686.14,-200.0,LOSS,ICT_Setup01,2026-01-20 03:00:00 HKT
66,LONG,2026-01-20T08:30:00,4720.88,4714.71,4733.22,400.0,WIN,ICT_Setup01,2026-01-20 16:30:00 HKT
67,LONG,2026-01-20T08:35:00,4719.81,4714.71,4730.01,400.0,WIN,ICT_Setup01,2026-01-20 16:35:00 HKT
68,LONG,2026-01-20T16:25:00,4741.28,4722.52,4778.8,400.0,WIN,ICT_Setup01,2026-01-21 00:25:00 HKT
69,LONG,2026-01-21T02:50:00,4829.96,4817.3,4855.28,400.0,WIN,ICT_Setup01,2026-01-21 10:50:00 HKT
70,LONG,2026-01-21T09:40:00,4866.39,4851.5,4896.17,-200.0,LOSS,ICT_Setup01,2026-01-21 17:40:00 HKT
71,LONG,2026-01-22T09:25:00,4829.55,4822.15,4844.35,-200.0,LOSS,ICT_Setup01,2026-01-22 17:25:00 HKT
72,LONG,2026-01-23T14:30:00,4942.8,4923.51,4981.38,400.0,WIN,ICT_Setup01,2026-01-23 22:30:00 HKT
