time,open,high,low,close,EMA,3-4 AM,10-11 AM,2-3 PM,Shapes,Shapes,Trend MA,TF1 Trend,TF2 Trend,TF3 Trend,TF4 Trend
2025-12-01T18:00:00+08:00,4250.13,4262.32,4249.04,4258.72,4233.4671658078605,0,0,0,0,0,,3,2,1,0
2025-12-01T18:15:00+08:00,4258.8,4259.29,4252.44,4253.63,4234.257865187945,0,0,0,0,0,,3,2,1,0
2025-12-01T18:30:00+08:00,4253.54,4255,4251.35,4254.28,4235.04304694528,0,0,0,0,0,,3,2,1,0
2025-12-01T18:45:00+08:00,4254.22,4257.94,4253.11,4255.68,4235.852339221936,0,0,0,0,0,,3,2,1,0
2025-12-01T19:00:00+08:00,4255.77,4256.69,4250.66,4251.56,4236.468325919115,0,0,0,0,0,,3,2,1,0
2025-12-01T19:15:00+08:00,4251.51,4255.71,4248.09,4254.39,4237.171136667385,0,0,0,0,0,,3,2,1,0
2025-12-01T19:30:00+08:00,4254.27,4258.55,4251.97,4258.4,4238.003641111802,0,0,0,0,0,,3,2,1,0
2025-12-01T19:45:00+08:00,4258.39,4258.5,4253.2,4254.63,4238.655655185848,0,0,0,0,0,,3,2,1,0
2025-12-01T20:00:00+08:00,4254.59,4256.61,4247.68,4249.11,4239.065629492286,0,0,0,0,0,,3,2,1,0
2025-12-01T20:15:00+08:00,4248.95,4254.49,4247.76,4252.61,4239.596781276902,0,0,0,0,0,,3,2,1,0
2025-12-01T20:30:00+08:00,4252.64,4256.38,4250.44,4252.62,4240.107495736632,0,0,0,0,0,,3,2,1,0
2025-12-01T20:45:00+08:00,4252.47,4252.96,4244.3,4246.58,4240.361319433235,0,0,0,0,0,,3,2,1,0
2025-12-01T21:00:00+08:00,4246.57,4256.31,4245.69,4254.31,4240.908326514284,0,0,0,0,0,,3,2,1,0
2025-12-01T21:15:00+08:00,4254.33,4257.6,4250.12,4256.93,4241.536627435293,0,0,0,0,0,,3,2,1,0
2025-12-01T21:30:00+08:00,4256.89,4264.59,4256.89,4262.02,4242.339896947634,0,0,0,0,0,,3,2,1,0
2025-12-01T21:45:00+08:00,4262.13,4263.34,4247.18,4247.43,4242.53950883204,0,0,0,0,0,,3,2,1,0
2025-12-01T22:00:00+08:00,4247.46,4249.3,4238.46,4247.11,4242.718743779803,0,0,0,0,0,,3,2,1,0
2025-12-01T22:15:00+08:00,4247.1,4249.26,4242.09,4246.54,4242.868596964909,0,0,0,0,0,,3,2,1,0
2025-12-01T22:30:00+08:00,4246.59,4247.97,4219.77,4225.49,4242.187083358442,0,0,0,0,0,,3,2,1,0
2025-12-01T22:45:00+08:00,4225.58,4241.49,4222.75,4240.06,4242.103668324778,0,0,0,0,0,,3,2,1,0
2025-12-01T23:00:00+08:00,4240.05,4245.1,4230.58,4231.47,4241.686661723806,0,0,0,0,0,,3,2,1,0
2025-12-01T23:15:00+08:00,4231.56,4231.95,4219.3,4227.92,4241.146792636598,0,0,0,0,0,,3,2,1,0
2025-12-01T23:30:00+08:00,4228.18,4236.49,4222.05,4228.9,4240.666526258692,0,1,0,0,0,,3,2,1,0
2025-12-01T23:45:00+08:00,4228.89,4233.9,4221.89,4232.44,4240.343917385802,0,0,0,0,0,,3,2,1,0
2025-12-02T00:00:00+08:00,4232.5,4239.89,4231.59,4237.16,4240.219057880477,0,0,0,0,0,,3,2,1,0
2025-12-02T00:15:00+08:00,4237,4240,4226.74,4239.75,4240.200663453791,0,0,0,0,0,,3,2,1,0
2025-12-02T00:30:00+08:00,4239.68,4240.33,4230.61,4238.95,4240.151617828153,0,0,0,0,0,,3,2,1,0
2025-12-02T00:45:00+08:00,4238.81,4242.4,4225.12,4226.06,4239.599005364304,0,0,0,0,0,,3,2,1,0
2025-12-02T01:00:00+08:00,4226.05,4233.61,4223.31,4230.04,4239.224142408841,0,0,0,0,0,,3,2,1,0
2025-12-02T01:15:00+08:00,4230.45,4236.71,4227.27,4235.55,4239.080058392808,0,0,0,0,0,,3,2,1,0
2025-12-02T01:30:00+08:00,4235.57,4239.57,4235.29,4238.89,4239.072605122501,0,0,0,0,0,,3,2,1,0
2025-12-02T01:45:00+08:00,4239.37,4239.99,4230.37,4232.29,4238.806620607893,0,0,0,0,0,,3,2,1,0
2025-12-02T02:00:00+08:00,4232.28,4238.72,4232.28,4236.39,4238.711851172289,0,0,0,0,0,,3,2,1,0
2025-12-02T02:15:00+08:00,4236.4,4242.02,4235.26,4240.83,4238.7949158322,0,0,0,0,0,,3,2,1,0
2025-12-02T02:30:00+08:00,4241.42,4242.67,4236.23,4242.19,4238.9280563878,0,0,0,0,0,,3,2,1,0
2025-12-02T02:45:00+08:00,4242.16,4244.55,4237.35,4240.33,4238.9830345686705,0,0,0,0,0,,3,2,1,0
2025-12-02T03:00:00+08:00,4240.37,4241.72,4235.92,4237.58,4238.928013605193,0,0,0,0,0,,3,2,1,0
2025-12-02T03:15:00+08:00,4237.53,4242.14,4236.6,4241.57,4239.031620914793,0,0,0,0,0,,3,2,1,0
2025-12-02T03:30:00+08:00,4241.21,4243.77,4233.94,4233.94,4238.83194950637,0,0,1,0,0,,3,2,1,0
2025-12-02T03:45:00+08:00,4233.74,4237.02,4229.37,4236.84,4238.753833839453,0,0,0,0,0,,3,2,1,0
2025-12-02T04:00:00+08:00,4237.09,4240.98,4235.1,4238.43,4238.7411344732,0,0,0,0,0,,3,2,1,0
2025-12-02T04:15:00+08:00,4238.14,4239.08,4235.18,4237.69,4238.6999135134665,0,0,0,0,0,,3,2,1,0
